Temperature;Site;FishID;MMR
10;Exploited;CSF01;3.45783964079905
10;Exploited;CSF02;3.84794541755049
10;Exploited;CSF03;3.66207411863006
10;Exploited;CSF04;2.66556998160398
10;Exploited;CSF05;3.12699289404493
10;Exploited;CSF08;3.15195540223608
10;Exploited;CSF09;3.43139541797894
10;Exploited;CSF31;
10;Exploited;CSF10;2.4586523440817
10;Exploited;CSF11;5.5106693914579
10;Exploited;CSF12;2.77273603924544
10;Exploited;CSF15;4.49048557843232
10;Exploited;CSF16;3.22160604886799
10;Exploited;CSF45;
10;Exploited;CSF17;3.0366949365561
10;Exploited;CSF20;4.2080948499105
10;Exploited;CSF21;3.39973442954292
10;Unexploited;GKM1;3.26432668684716
10;Unexploited;GKM2;4.94771358596111
10;Unexploited;GKM3;3.87385899164908
10;Unexploited;GKM4;4.05076065231777
10;Unexploited;GKM7;4.36348608728483
10;Unexploited;GKM8;3.59957350667059
10;Unexploited;GKM9;4.87709070197348
10;Unexploited;GKM10;3.80310895505841
10;Unexploited;GKM11;3.50657786002685
10;Unexploited;GKM13;4.02320169615046
10;Unexploited;GKM15;3.89846501376184
10;Unexploited;GKM16;4.76601313161101
16;Exploited;CSF01;5.65991427492663
16;Exploited;CSF02;4.09023577123312
16;Exploited;CSF03;5.58981344546595
16;Exploited;CSF04;4.42760260450937
16;Exploited;CSF05;4.50455920425909
16;Exploited;CSF 45;
16;Exploited;CSF08;5.37370169502399
16;Exploited;CSF09;5.18164847609938
16;Exploited;CSF10;4.66855254111025
16;Exploited;CSF11;7.82244425130455
16;Exploited;CSF12;5.70719080321772
16;Exploited;CSF15;4.69015675462942
16;Exploited;CSF16;2.77018888731327
16;Exploited;CSF17;6.14979863450463
16;Exploited;CSF20;4.36782242601619
16;Exploited;CSF21;5.41678472859387
16;Unexploited;GKM1;6.41540546606195
16;Unexploited;GKM2;6.15928251958498
16;Unexploited;GKM3;5.54441254567737
16;Unexploited;GKM4;4.49709198991232
16;Unexploited;GKM7;6.24454827857043
16;Unexploited;GKM8;3.73708987467631
16;Unexploited;GKM9;7.7755709255582
16;Unexploited;GKM10;6.03517258550543
16;Unexploited;GKM11;2.17466530941762
16;Unexploited;GKM13;6.07254750069766
16;Unexploited;GKM15;4.56295248815633
16;Unexploited;GKM16;7.60702281519261
21;Exploited;CSF01;5.98833750680231
21;Exploited;CSF02;5.97844908433615
21;Exploited;CSF03;5.76294847980251
21;Exploited;CSF04;3.04507483746518
21;Exploited;CSF05;3.18461430287146
21;Exploited;CSF08;4.81743120195939
21;Exploited;CSF09;5.75193394111662
21;Exploited;CSF10;4.99581006791148
21;Exploited;CSF11;5.06499615804492
21;Exploited;CSF12;5.47033096849803
21;Exploited;CSF15;5.25220652372058
21;Exploited;CSF16;4.02578230548083
21;Exploited;CSF17;3.32385337342079
21;Exploited;CSF20;6.711968520677
21;Exploited;CSF21;5.68568965224998
21;Unexploited;GKM1;7.07537693233471
21;Unexploited;GKM2;5.94667644375151
21;Unexploited;GKM3;7.26229809610022
21;Unexploited;GKM4;4.5407539475525
21;Unexploited;GKM7;5.41217000643452
21;Unexploited;GKM8;6.75659016541489
21;Unexploited;GKM9;7.79558885272822
21;Unexploited;GKM10;8.22318548268734
21;Unexploited;GKM11;5.29994592712382
21;Unexploited;GKM13;7.76924468517013
21;Unexploited;GKM15;4.49205617913041
21;Unexploited;GKM16;9.93116517083951
